name,url,type
Binoculars,http://darksouls.wikidot.com/binoculars,Consumables
Copper Coin,http://darksouls.wikidot.com/copper-coin,Consumables
Cracked Red Eye Orb,http://darksouls.wikidot.com/cracked-red-eye-orb,Consumables
Darksign,http://darksouls.wikidot.com/darksign,Consumables
Gold Coin,http://darksouls.wikidot.com/gold-coin,Consumables
Humanity,http://darksouls.wikidot.com/humanity,Consumables
Homeward Bone,http://darksouls.wikidot.com/homeward-bone,Consumables
Lloyd's Talisman,http://darksouls.wikidot.com/lloyd-s-talisman,Consumables
Pendant,http://darksouls.wikidot.com/pendant,Consumables
Prism Stone,http://darksouls.wikidot.com/prism-stone,Consumables
Repair Powder,http://darksouls.wikidot.com/repair-powder,Consumables
Rubbish,http://darksouls.wikidot.com/rubbish,Consumables
Silver Coin,http://darksouls.wikidot.com/silver-coin,Consumables
Silver Pendant,http://darksouls.wikidot.com/silver-pendant,Consumables
Transient Curse,http://darksouls.wikidot.com/transient-curse,Consumables
Twin Humanities,http://darksouls.wikidot.com/twin-humanities,Consumables
Annex Key,http://darksouls.wikidot.com/annex-key,Keys
Archive Tower Cell Key,http://darksouls.wikidot.com/archive-tower-cell-key,Keys
Archive Tower Giant Cell Key,http://darksouls.wikidot.com/archive-tower-giant-cell-key,Keys
Archive Tower Giant Door Key,http://darksouls.wikidot.com/archive-tower-giant-door-key,Keys
Archive Prison Extra Key,http://darksouls.wikidot.com/archive-tower-extra-key,Keys
Basement Key,http://darksouls.wikidot.com/basement-key,Keys
Big Pilgrim´s Key,http://darksouls.wikidot.com/big-pilgrim-s-key,Keys
Blighttown Key,http://darksouls.wikidot.com/blighttown-key,Keys
Broken Pendant,http://darksouls.wikidot.com/broken-pendant,Keys
Cage Key,http://darksouls.wikidot.com/cage-key,Keys
Crest Key,http://darksouls.wikidot.com/crest-key,Keys
Crest of Artorias,http://darksouls.wikidot.com/crest-of-artorias,Keys
Dungeon Cell Key,http://darksouls.wikidot.com/dungeon-cell-key,Keys
Key to New Londo Ruins,http://darksouls.wikidot.com/key-to-new-londo-ruins,Keys
Key to the Depths,http://darksouls.wikidot.com/key-to-the-depths,Keys
Key to the Seal,http://darksouls.wikidot.com/key-to-the-seal,Keys
Master Key,http://darksouls.wikidot.com/master-key,Keys
Mystery Key,http://darksouls.wikidot.com/mystery-key,Keys
Peculiar Doll,http://darksouls.wikidot.com/peculiar-doll,Keys
Residence Key,http://darksouls.wikidot.com/residence-key,Keys
Undead Asylum F2 East Key,http://darksouls.wikidot.com/undead-asylum-f2-east-key,Keys
Undead Asylum F2 West Key,http://darksouls.wikidot.com/undead-asylum-f2-west-key,Keys
Sewer Chamber Key,http://darksouls.wikidot.com/sewer-chamber-key,Keys
Watchtower Basement Key,http://darksouls.wikidot.com/watchtower-basement-key,Keys
Black Separation Crystal,http://darksouls.wikidot.com/black-separation-crystal,Multiplayer Items
Orange Guidance Soapstone,http://darksouls.wikidot.com/orange-guidance-soapstone,Multiplayer Items
Purple Coward's Crystal,http://darksouls.wikidot.com/purple-coward-s-crystal,Multiplayer Items
Red Sign Soapstone,http://darksouls.wikidot.com/red-sign-soapstone,Multiplayer Items
White Sign Soapstone,http://darksouls.wikidot.com/white-sign-soapstone,Multiplayer Items
Black Eye Orb,http://darksouls.wikidot.com/black-eye-orb,Multiplayer Items
Blue Eye Orb,http://darksouls.wikidot.com/blue-eye-orb,Multiplayer Items
Cracked Red Eye Orb,http://darksouls.wikidot.com/cracked-red-eye-orb,Multiplayer Items
Red Eye Orb,http://darksouls.wikidot.com/red-eye-orb,Multiplayer Items
Dragon Eye,http://darksouls.wikidot.com/dragon-eye,Multiplayer Items
Dragon Head Stone,http://darksouls.wikidot.com/dragon-head-stone,Multiplayer Items
Dragon Torso Stone,http://darksouls.wikidot.com/dragon-torso-stone,Multiplayer Items
Eye of Death,http://darksouls.wikidot.com/eye-of-death,Multiplayer Items
Souvenir of Reprisal,http://darksouls.wikidot.com/souvenir-of-reprisal,Multiplayer Items
Sunlight Medal,http://darksouls.wikidot.com/sunlight-medal,Multiplayer Items
Hello Carving,http://darksouls.wikidot.com/hello-carving,Multiplayer Items
Very Good! Carving,http://darksouls.wikidot.com/very-good-carving,Multiplayer Items
Thank You Carving,http://darksouls.wikidot.com/thank-you-carving,Multiplayer Items
I'm Sorry Carving,http://darksouls.wikidot.com/i-m-sorry-carving,Multiplayer Items
Help Me! Carving,http://darksouls.wikidot.com/help-me-carving,Multiplayer Items
Book of the Guilty,http://darksouls.wikidot.com/book-of-the-guilty,Multiplayer Items
Dried Finger,http://darksouls.wikidot.com/dried-finger,Multiplayer Items
Indictment,http://darksouls.wikidot.com/indictment,Multiplayer Items
Servant Roster,http://darksouls.wikidot.com/servant-roster,Multiplayer Items
Bellowing Dragoncrest Ring,http://darksouls.wikidot.com/bellowing-dragoncrest-ring,Rings
Bloodbite Ring,http://darksouls.wikidot.com/bloodbite-ring,Rings
Blue Tearstone Ring,http://darksouls.wikidot.com/blue-tearstone-ring,Rings
Calamity Ring,http://darksouls.wikidot.com/calamity-ring,Rings
Cat Covenant Ring,http://darksouls.wikidot.com/cat-covenant-ring,Rings
Cloranthy Ring,http://darksouls.wikidot.com/cloranthy-ring,Rings
Covenant Of Artorias,http://darksouls.wikidot.com/covenant-of-artorias,Rings
Covetous Gold Serpent Ring,http://darksouls.wikidot.com/covetous-gold-serpent-ring,Rings
Covetous Silver Serpent Ring,http://darksouls.wikidot.com/covetous-silver-serpent-ring,Rings
Cursebite Ring,http://darksouls.wikidot.com/cursebite-ring,Rings
Darkmoon Blade Covenant Ring,http://darksouls.wikidot.com/darkmoon-blade-covenant-ring,Rings
Darkmoon Seance Ring,http://darksouls.wikidot.com/darkmoon-seance-ring,Rings
Dark Wood Grain Ring,http://darksouls.wikidot.com/dark-wood-grain-ring,Rings
Dusk Crown Ring,http://darksouls.wikidot.com/dusk-crown-ring,Rings
East Wood Grain Ring,http://darksouls.wikidot.com/east-wood-grain-ring,Rings
Flame Stoneplate Ring,http://darksouls.wikidot.com/flame-stoneplate-ring,Rings
Havel's Ring,http://darksouls.wikidot.com/havel-s-ring,Rings
Hawk Ring,http://darksouls.wikidot.com/hawk-ring,Rings
Hornet Ring,http://darksouls.wikidot.com/hornet-ring,Rings
Leo Ring,http://darksouls.wikidot.com/leo-ring,Rings
Lingering Dragoncrest Ring,http://darksouls.wikidot.com/lingering-dragoncrest-ring,Rings
Old Witch's Ring,http://darksouls.wikidot.com/old-witch-s-ring,Rings
Orange Charred Ring,http://darksouls.wikidot.com/orange-charred-ring,Rings
Poisonbite Ring,http://darksouls.wikidot.com/poisonbite-ring,Rings
Rare Ring of Sacrifice,http://darksouls.wikidot.com/rare-ring-of-sacrifice,Rings
Red Tearstone Ring,http://darksouls.wikidot.com/red-tearstone-ring,Rings
Ring of Favor and Protection,http://darksouls.wikidot.com/ring-of-favor-and-protection,Rings
Ring of Fog,http://darksouls.wikidot.com/ring-of-fog,Rings
Ring of Sacrifice,http://darksouls.wikidot.com/ring-of-sacrifice,Rings
Ring of Steel Protection,http://darksouls.wikidot.com/ring-of-steel-protection,Rings
Ring of the Evil Eye,http://darksouls.wikidot.com/ring-of-the-evil-eye,Rings
Ring of the Sun's Firstborn,http://darksouls.wikidot.com/ring-of-the-sun-s-firstborn,Rings
Ring of the Sun Princess,http://darksouls.wikidot.com/ring-of-the-sun-princess,Rings
Rusted Iron Ring,http://darksouls.wikidot.com/rusted-iron-ring,Rings
Slumbering Dragoncrest Ring,http://darksouls.wikidot.com/slumbering-dragoncrest-ring,Rings
Speckled Stoneplate Ring,http://darksouls.wikidot.com/speckled-stoneplate-ring,Rings
Spell Stoneplate Ring,http://darksouls.wikidot.com/spell-stoneplate-ring,Rings
Thunder Stoneplate Ring,http://darksouls.wikidot.com/thunder-stoneplate-ring,Rings
Tiny Being's Ring,http://darksouls.wikidot.com/tiny-being-s-ring,Rings
White Seance Ring,http://darksouls.wikidot.com/white-seance-ring,Rings
Wolf Ring,http://darksouls.wikidot.com/wolf-ring,Rings
