entity,item,entity_type,context
East,Eastern Gauntlets,LOC,"Distinctive gauntlets made in an Eastern
land. Exquisitely crafted, these gauntlets offer
excellent defense, particularly versus slash
attacks, which are one of the main threats in
battles in the East..."
East,Eastern Leggings,LOC,"Distinctive leggings made in an Eastern
land. Exquisitely crafted, these leggings offer
excellent defense, particularly versus slash
attacks, which are one of the main threats in
battles in the East."
Hollow,Soul of a Lost Undead,ORG,"Soul of a lost Undead who has
long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Lost Undead,ORG,"Soul of a lost Undead who has
long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Lost Undead,ORG,"Large soul of a lost Undead
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Lost Undead,ORG,"Large soul of a lost Undead
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Nameless Soldier,ORG,"Soul of a nameless Undead soldier
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Nameless Soldier,ORG,"Soul of a nameless Undead soldier
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Nameless Soldier,ORG,"Large soul of a nameless Undead
soldier who has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Nameless Soldier,ORG,"Large soul of a nameless Undead
soldier who has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Proud Knight,ORG,"Soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Proud Knight,ORG,"Soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Proud Knight,ORG,"Large soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Proud Knight,ORG,"Large soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Brave Warrior,ORG,"Soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Brave Warrior,ORG,"Soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Large Soul of a Brave Warrior,ORG,"Large soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek t..."
Hollow,Large Soul of a Brave Warrior,ORG,"Large soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek t..."
Hollow,Soul of a Hero,ORG,"Soul of a hero of legend
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Hero,ORG,"Soul of a hero of legend
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Hollow,Soul of a Great Hero,ORG,"Great soul of a hero of legend
who has long ago gone Hollow. Use to acquire an incredible amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek t..."
Hollow,Soul of a Great Hero,ORG,"Great soul of a hero of legend
who has long ago gone Hollow. Use to acquire an incredible amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek t..."
Hollow,Darksign,ORG,"The Darksign signifies an accursed Undead.
Those branded with it are reborn after death,
but will one day lose their mind and go Hollow. Death triggers the Darksign,
which returns its bearer to the la..."
Hollow,Watchtower Basement Key,ORG,"Key to the basement of the watchtower in
the Undead Burg. The basement of the watchtower forms a stone
cell. There are rumors of a hero turned
Hollow who was locked away by a dear friend.
For his own ..."
Hollow,Elite Knight Helm,ORG,"Helm of a nameless knight, perhaps an elite
knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Hollow,Hollow Soldier Helm,ORG,"Helm worn by Hollow soldiers. It may be old
and battered, but its iron construction makes
it quite sturdy. It is wise to wear a sturdy form of head
protection against arrows and other physical
threats..."
Hollow,Hollow Thief`s Hood,ORG,"Hood worn by Hollow thieves.
Used to hide a guilty countenance."
Hollow,Hollow Warrior Helm,ORG,"Helm worn by Hollow warriors. Although it is
made of iron, it is old, battered and worn
out. It is wise to wear a sturdy form of head
protection against arrows and other physical
threats."
Hollow,Steel Helm,ORG,"Helm of the Knights of Berenike, known for
their heavy armaments and armor. Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But their
jo..."
Hollow,Elite Knight Armor,ORG,"Armor of a nameless knight, perhaps an elite
knight of Astora, based on the fire-warding
heraldic symbol on its blue surcoat. Although he was loath to give up on his
Undead mission, he perished at the..."
Hollow,Hollow Soldier Armor,ORG,"Armor worn by Hollow soldiers. It may be
old and battered, but its iron construction
makes it quite sturdy."
Hollow,Hollow Thief`s Leather Armor,ORG,"Leather armor worn by Hollow thieves. It
stifles noise and helps its wear hide
in the shadows."
Hollow,Hollow Warrior Armor,ORG,"Armor worn by Hollow warriors. It is made of
thick leather that is tattered with age."
Hollow,Steel Armor,ORG,"Armor of the Knights of Berenike, known for
their heavy armaments and armor. Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But their
j..."
Hollow,Elite Knight Gauntlets,ORG,"Gauntlets of a nameless knight, perhaps an
elite knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Hollow,Steel Gauntlets,ORG,"Gauntlets of the Knights of Berenike, known
for their heavy armaments and armor Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But thei..."
Hollow,Elite Knight Leggings,ORG,"Leggings of a nameless knight, perhaps an
elite knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Hollow,Hollow Soldier Waistcloth,ORG,"Waistcloth worn by Hollow soldiers. It is so
tattered that it barely serves its purpose
anymore."
Hollow,Hollow Thief`s Tights,ORG,"Tights worn by Hollow thieves. They stifle
noise and help their wearer hide in the
shadows."
Hollow,Steel Leggings,ORG,"Leggings of the Knights of Berenike, known
for their heavy armaments and armor Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But their..."
Astora,Binoculars,GPE,"Binoculars made of brass.
Use to peer at distant scenery. This advanced device was built by a
famous craftsman of Astora. Its utility is
singular, but its applications many. The value of these specs d..."
Astora,Ring of the Evil Eye,PERSON,"According to legend, this ring contains the
spirit of the evil eye, a dark beast which
assaulted Astora. The strength of the evil eye does not waver,
and HP is absorbed from fallen enemies."
Astora,Elite Knight Helm,PERSON,"Helm of a nameless knight, perhaps an elite
knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Astora,Elite Knight Armor,GPE,"Armor of a nameless knight, perhaps an elite
knight of Astora, based on the fire-warding
heraldic symbol on its blue surcoat. Although he was loath to give up on his
Undead mission, he perished at the..."
Astora,Elite Knight Gauntlets,PERSON,"Gauntlets of a nameless knight, perhaps an
elite knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Astora,Elite Knight Leggings,PERSON,"Leggings of a nameless knight, perhaps an
elite knight of Astora. Although he was loath to give up on his
Undead mission, he perished at the Undead
Asylum, and went Hollow."
Keepers,Black Eye Orb,PERSON,"Mystical orb found on a Keeper's corpse. Invade the world of the murderer of a
Fire Keeper, to defeat the perpetrator and
reclaim the soul of the Fire Keeper. The Black Eye keeps constant watch on the..."
Fire,Silver Knight Helm,ORG,"Helm of the Silver Knights who protect Anor
Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service of th..."
Fire,Silver Knight Armor,ORG,"Armor of the Silver Knights who protect Anor
Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service of t..."
Fire,Silver Knight Gauntlets,ORG,"Gauntlets of the Silver Knights who protect
Anor Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service ..."
Fire,Silver Knight Leggings,ORG,"Leggings of the Silver Knights who protect
Anor Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service o..."
Undead,Lordvessel,ORG,"Lordvessel bestowed upon the chosen Undead who is destined to succeed Lord Gwyn.
The chosen Undead is granted the art of warping between bonfires.
To open the final door, place this vessel on the Fire..."
Undead,Lordvessel,ORG,"Lordvessel bestowed upon the chosen Undead who is destined to succeed Lord Gwyn.
The chosen Undead is granted the art of warping between bonfires.
To open the final door, place this vessel on the Fire..."
Undead,Rite of Kindling,ORG,"This secret rite allows bonfires to be
bolstered further with Kindling,
so that even more Estus can be collected. Kindling was a sacred rite passed down among clerics,
but all Undead can imitate the p..."
Undead,Rite of Kindling,ORG,"This secret rite allows bonfires to be
bolstered further with Kindling,
so that even more Estus can be collected. Kindling was a sacred rite passed down among clerics,
but all Undead can imitate the p..."
Undead,Charcoal Pine Resin,ORG,"Black charcoal-like pine resin.
Applies fire to right-hand weapon. Affected weapon inflicts fire damage
for a short time. Particularly effective
against corporeal creatures and Undead,
who have an ins..."
Undead,Soul of a Lost Undead,ORG,"Soul of a lost Undead who has
long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Large Soul of a Lost Undead,ORG,"Large soul of a lost Undead
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Soul of a Nameless Soldier,ORG,"Soul of a nameless Undead soldier
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Large Soul of a Nameless Soldier,ORG,"Large soul of a nameless Undead
soldier who has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Soul of a Proud Knight,ORG,"Soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Large Soul of a Proud Knight,ORG,"Large soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Soul of a Brave Warrior,ORG,"Soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Large Soul of a Brave Warrior,ORG,"Large soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek t..."
Undead,Soul of a Hero,ORG,"Soul of a hero of legend
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Undead,Soul of a Great Hero,ORG,"Great soul of a hero of legend
who has long ago gone Hollow. Use to acquire an incredible amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek t..."
Undead,Darksign,ORG,"The Darksign signifies an accursed Undead.
Those branded with it are reborn after death,
but will one day lose their mind and go Hollow. Death triggers the Darksign,
which returns its bearer to the la..."
Undead,Homeward Bone,ORG,"Bone fragment reduced to white ash.
Return to last bonfire used for resting. Bonfires are fueled by the bones of the Undead.
In rare cases, the strong urge of their previous owner's
to seek bonfires e..."
Undead,Lloyd's Talisman,ORG,"Talisman utilized by Allfather Lloyd's
cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area. In the outside world, the Undead are
accursed creatures, and Lloyd's cleric ..."
Undead,Lloyd's Talisman,ORG,"Talisman utilized by Allfather Lloyd's
cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area. In the outside world, the Undead are
accursed creatures, and Lloyd's cleric ..."
Undead,Lloyd's Talisman,ORG,"Talisman utilized by Allfather Lloyd's
cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area. In the outside world, the Undead are
accursed creatures, and Lloyd's cleric ..."
Undead,Lloyd's Talisman,ORG,"Talisman utilized by Allfather Lloyd's
cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area. In the outside world, the Undead are
accursed creatures, and Lloyd's cleric ..."
Undead,Master Key,ORG,"This universal key opens any basic lock.
Tool of the trade for thieves. But in the cursed land of the Undead,
most doors are better left unopened."
Undead,Undead Asylum F2 East Key,ORG,"Key to the iron bars on the east side of the
second floor of the North Undead Asylum. The Undead Asylum is a giant Undead prison,
segmented by countless iron bars. Even if an Undead were to escape fro..."
Undead,Sewer Chamber Key,ORG,"Key to the sewer chamber in the Depths. In any community, a few bad apples are sure
to exhibit insatiable greed. If they were
turned Undead, and banished to the Depths,
would they reconsider their way..."
Undead,Black Separation Crystal,ORG,"This black crystal, long a symbol of
farewell, is granted to banished Undead.
The crystal sends phantoms back to their
homes, or sends you back to yours. Beware of fickle use of the item if you
intend..."
Undead,Orange Guidance Soapstone,ORG,"Online play item.
Write/view/rate message. Messages transmit to other worlds, where they
are rated. Also, rate messages of others. In Lordran, the flow of time is distorted,
and messages allow Undead ..."
Undead,Covetous Gold Serpent Ring,ORG,"The serpent is an imperfect dragon and symbol
of the Undead. Its habit of devouring prey
even larger than itself has led to an
association with gluttony. This gold ring, engraved with the serpent,
boo..."
Undead,Covetous Silver Serpent Ring,ORG,"The serpent is an imperfect dragon and symbol
of the Undead. Its habit of devouring prey
even larger than itself has led to an
association with gluttony. This silver ring, engraved with the serpent,
r..."
Undead,Balder Helm,ORG,"Helm worn by the knights of the ancient
kingdom of Balder. It is made from thick
iron plates. Balder was the homeland of the Knight
King Rendal, but it came to ruin after a
great many Undead were spaw..."
Undead,Sack,ORG,"Bloodstained patchwork sack by the Undead
man-eating cook lurking in the Depths. Two
eyeholes have been haphazardly cut out. It is unexpectedly soft and comfortable to
wear, but it is probably near me..."
Undead,Steel Helm,ORG,"Helm of the Knights of Berenike, known for
their heavy armaments and armor. Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But their
jo..."
Undead,Balder Armor,ORG,"Armor worn by the knights of the ancient
kingdom of Balder. It is made from thick
iron plates. Balder was the homeland of the Knight
King Rendal, but it came to ruin after a
great many Undead were spa..."
Undead,Steel Armor,ORG,"Armor of the Knights of Berenike, known for
their heavy armaments and armor. Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But their
j..."
Undead,Balder Gauntlets,ORG,"Gauntlets worn by the knights of the ancient
kingdom of Balder. It is made from thick
iron plates. Balder was the homeland of the Knight
King Rendal, but it came to ruin after a
great many Undead were..."
Undead,Steel Gauntlets,ORG,"Gauntlets of the Knights of Berenike, known
for their heavy armaments and armor Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But thei..."
Undead,Balder Leggings,ORG,"Leggings worn by the knights of the ancient
kingdom of Balder. It is made from thick
iron plates. Balder was the homeland of the Knight
King Rendal, but it came to ruin after a
great many Undead were ..."
Undead,Steel Leggings,ORG,"Leggings of the Knights of Berenike, known
for their heavy armaments and armor Countless Knights of Berenike, once
extolled as the mightiest of mighty, became
Undead and ventured to Lordran. But their..."
Sen's Fortress,Core of an Iron Golem,ORG,"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo. Originally a bone of an everlasting dragon. Use to acquire a huge amount of s..."
Sen's Fortress,Cage Key,ORG,"Key to the hanging cage in Sen's Fortress. If a hapless adventurer becomes fatigued during an imprudent attempt to overcome the fortress, the serpent men will not kill him, but lock him up in a lonely..."
Sen's Fortress,Golem Helm,ORG,"Head of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, it is a mere hunk of iron,
and can be equipped as solid protective ..."
Sen's Fortress,Golem Armor,ORG,"Body of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, it is a mere hunk of iron,
and can be equipped as solid protective ..."
Sen's Fortress,Golem Gauntlets,ORG,"Arms of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, they are mere hunks of
iron, and can be equipped as solid protectiv..."
Sen's Fortress,Golem Leggings,ORG,"Legs of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, they are mere hunks of
iron, and can be equipped as solid protectiv..."
the Darkroot Garden,Soul of the Moonlight Butterfly,EVENT,"Soul of the mystical Moonlight Butterfly,
which flitters in the Darkroot Garden. Special beings have special souls.
The butterfly's soul is a creation of
Seath the Scaleless. Use to acquire a huge amo..."
the Darkroot Garden,Crest of Artorias,EVENT,"This crest opens a door in the Darkroot Garden sealed by ancient magic. This door leads to the grave of Sir Artorias the Abysswalker. Many adventurers have left for the grave, but none have returned f..."
the Darkroot Garden,Stone Helm,EVENT,"Moss-covered helm of the Stone Knight,
defender of the Darkroot Garden. The Stone Knight is a product of ancient
magic, and although this helm is also imbued
with magic, it is incredibly heavy."
the Darkroot Garden,Stone Armor,EVENT,"Moss-covered armor of the Stone Knight,
defender of the Darkroot Garden. The Stone Knight is a product of ancient
magic, and although this armor is also imbued
with magic, it is incredibly heavy."
the Darkroot Garden,Stone Gauntlets,EVENT,"Moss-covered gauntlets of the Stone Knight,
defender of the Darkroot Garden. The Stone Knight is a product of ancient
magic, and although these gauntlets are also imbued
with magic, they are incredibl..."
the Darkroot Garden,Stone Leggings,EVENT,"Moss-covered leggings of the Stone Knight,
defender of the Darkroot Garden. The Stone Knight is a product of ancient
magic, and although these leggings are also imbued
with magic, they are incredibly ..."
Anor Londo,Lightning Bolt,PERSON,"Special bolts imbued with lightning, crafted
by the giant blacksmith of Anor Londo. The giant blacksmith has never seen a
crossbow, but remembers the specifications
of the bolts requested by ancient w..."
Anor Londo,Core of an Iron Golem,PERSON,"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo. Originally a bone of an everlasting dragon. Use to acquire a huge amount of s..."
Anor Londo,Soul of Ornstein,PERSON,"Soul of Ornstein, Dragonslayer Knight who guards the cathedral in the forsaken city of Anor Londo. Special beings have special souls. Lord Gwyn granted this soul to his four most trusted knights. Use ..."
Anor Londo,Soul of Smough,PERSON,"Soul of Smough the Executioner, who guards the cathedral in the forsaken city of Anor Londo. Special beings have special souls. Use the soul of this eerily gleeful executioner to acquire a huge amount..."
Anor Londo,Soul of Gwyndolin,PERSON,"Soul of Darkmoon Gwyndolin, god of the Dark Sun and guardian of deserted Anor Londo. Special beings have special souls.
Use the soul of Gwyn's lastborn to acquire a huge amount of souls, or to create ..."
Anor Londo,Silver Pendant,PERSON,"One of the ancient treasures of Anor Londo.
Presented to Artorias for facing the Abyss.

Effectively deflects the Dark of the Abyss,
especially in its magic forms."
Anor Londo,Purple Coward's Crystal,PERSON,"Online play item.
Quit Battle of Stoicism.
(Session ends if host leaves) Victory in this battle once led to ancient
Anor Londo, but even in the absence
of it's overseer, capitulation is a disgrace.
In..."
Anor Londo,Black Eye Orb,PERSON,"Mystical orb found on a Keeper's corpse. Invade the world of the murderer of a
Fire Keeper, to defeat the perpetrator and
reclaim the soul of the Fire Keeper. The Black Eye keeps constant watch on the..."
Anor Londo,Darkmoon Blade Covenant Ring,PERSON,"Ring granted to those bound by the
Darkmoon Blade Covenant.
Answer Dark Sun Gwyndolin's summoning. Gwyndolin, all too aware of his repulsive,
frail appearance, created the illusion of
a sister Gwyneve..."
Anor Londo,Darkmoon Seance Ring,GPE,"This ring is granted to adherents of
Gwyndolin, Darkmoon deity and
last born of Gwyn, Lord of Sunlight.
Grants additional magic and attunement slots. The Dark Sun Gwyndolin is the only remaining
deity..."
Anor Londo,Ring of the Sun Princess,PERSON,"This ring is granted to those who enter a
Covenant with Gwynevere, daughter of Lord Gywn
and the Princess of Sunlight. This slightly
warm ring boosts the synergy of miracles. The Princess of Sunlight ..."
Anor Londo,Crown of the Dark Sun,PERSON,"Crown of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. This crown of the gods demands faith
immeasurable of its wearer, but it is imbued
with Darkmoon power that enhances all m..."
Anor Londo,Giant Helm,PERSON,"Helm of the giant sentinels of Anor Londo. Made from ancient brass, it also offers
protection versus non-physical attacks, but
due to its giant size, it is extremely heavy
for humans, and impedes stam..."
Anor Londo,Golem Helm,PERSON,"Head of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, it is a mere hunk of iron,
and can be equipped as solid protective ..."
Anor Londo,Ornstein`s Helm,PERSON,"Helm of the dragonslayer Ornstein, who
guards the cathedral in the forsaken city of
Anor Londo. Ornstein is believed to be the captain of the
Four Knights. His golden lion helm is imbued
with the powe..."
Anor Londo,Painting Guardian Hood,GPE,"Hood worn by the alabaster-clothed guardians
of the paintings in Anor Londo. Offer
substantial protection versus magic. They have guarded the Great Painting of
Ariamis for ages, passing their duty dow..."
Anor Londo,Giant Armor,PERSON,"Armor of the giant sentinels of Anor Londo. Made from ancient brass, it also offers
protection versus non-physical attacks, but
due to its giant size, it is extremely heavy
for humans, and impedes sta..."
Anor Londo,Golem Armor,PERSON,"Body of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, it is a mere hunk of iron,
and can be equipped as solid protective ..."
Anor Londo,Moonlight Robe,PERSON,"Robe of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. The power of the moon was strong in
Gwyndolin, and thus he was raised as a
daughter. His magic garb is silk-thin
and hardl..."
Anor Londo,Ornstein`s Armor,PERSON,"Armor of the dragonslayer Ornstein, who
guards the cathedral in the forsaken city of
Anor Londo. Ornstein is believed to be the captain of the
Four Knights. His golden lion armor is imbued
with the po..."
Anor Londo,Painting Guardian Robe,GPE,"Robe worn by the alabaster-clothed guardians
of the paintings in Anor Londo. Offer
substantial protection versus magic. They have guarded the Great Painting of
Ariamis for ages, passing their duty dow..."
Anor Londo,Golem Gauntlets,PERSON,"Arms of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, they are mere hunks of
iron, and can be equipped as solid protectiv..."
Anor Londo,Moonlight Gloves,PERSON,"Gloves of the Dark Sun Gwyndolin, protector
of the forsaken city of Anor Londo. The power of the moon was strong in
Gwyndolin, and thus he was raised as a
daughter. His magic garb is silk-thin,
and ha..."
Anor Londo,Ornstein`s Gauntlets,PERSON,"Gauntlets of the dragonslayer Ornstein, who
guards the cathedral in the forsaken city of
Anor Londo. Ornstein is believed to be the captain of the
Four Knights. His golden lion gauntlets are
imbued wi..."
Anor Londo,Painting Guardian Gloves,GPE,"Gloves worn by the alabaster-clothed guardians
of the paintings in Anor Londo. Offer
substantial protection versus magic. They have guarded the Great Painting of
Ariamis for ages, passing their duty d..."
Anor Londo,Silver Knight Gauntlets,PERSON,"Gauntlets of the Silver Knights who protect
Anor Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service ..."
Anor Londo,Golem Leggings,PERSON,"Legs of the Iron Golem, guardian of the
ancient Sen's Fortress, slayer of heroes who
ventured forth to Anor Londo. Without its core, they are mere hunks of
iron, and can be equipped as solid protectiv..."
Anor Londo,Moonlight Waistcloth,PERSON,"Waistcloth of the Dark Sun Gwyndolin,
protector of the forsaken city of Anor Londo. The power of the moon was strong in
Gwyndolin, and thus he was raised as a
daughter. His magic garb is silk-thin,
an..."
Anor Londo,Ornstein`s Leggings,PERSON,"Leggings of the dragonslayer Ornstein, who
guards the cathedral in the forsaken city of
Anor Londo. Ornstein is believed to be the captain of the
Four Knights. His golden lion leggings are
imbued with..."
Anor Londo,Painting Guardian Waistcloth,GPE,"Waistcloth worn by the alabaster-clothed
guardians of the paintings in Anor Londo.
Offer substantial protection versus magic. They have guarded the Great Painting of
Ariamis for ages, passing their du..."
Anor Londo,Silver Knight Leggings,PERSON,"Leggings of the Silver Knights who protect
Anor Londo. When Lord Gwyn departed to link the Fire,
his knights split into two groups. The Silver
Knights remained in the forsaken capital in
the service o..."
Artorias the Abysswalker,Soul of Sif,WORK_OF_ART,"Soul of Sif the Great Grey Wolf, who guards the grave of Artorias the Abysswalker. Special beings have special souls.
Use the soul of Sif, who inherited the divine knightsword, to acquire a huge amoun..."
Artorias the Abysswalker,Crest of Artorias,PERSON,"This crest opens a door in the Darkroot Garden sealed by ancient magic. This door leads to the grave of Sir Artorias the Abysswalker. Many adventurers have left for the grave, but none have returned f..."
Artorias the Abysswalker,Wolf Ring,WORK_OF_ART,"One of the special rings granted to the four knights of Gwyn.
The wolf ring belongs to Artorias the Abysswalker.
Artorias had an unbendable will of steel,
and was unmatched with a greatsword."
