name,url,type,description
Lightning Bolt,http://darksouls.wikidot.com/lightning-bolt,Ammo,"Special bolts imbued with lightning, crafted
by the giant blacksmith of Anor Londo. The giant blacksmith has never seen a
crossbow, but remembers the specifications
of the bolts requested by ancient warriors."
Sniper Bolt,http://darksouls.wikidot.com/sniper-bolt,Ammo,"Red feather bolts used with the Sniper
Crossbow. Their long range makes them
effective for sniping."
Armor Smithbox,http://darksouls.wikidot.com/armor-smithbox,Bonfire Items,"Tool used to etch titanite into armor for reinforcement.
Rest at a bonfire to make armor reinforcement possible."
Bottomless Box,http://darksouls.wikidot.com/bottomless-box,Bonfire Items,"A peculiar bottomless wooden box.
Its origins are unknown. Some deride
it as a symbol of unbridled avarice. Any number of items can be deposited into
the box, and items can be managed while
resting at a bonfire."
Lordvessel,http://darksouls.wikidot.com/lordvessel,Bonfire Items,"Lordvessel bestowed upon the chosen Undead who is destined to succeed Lord Gwyn.
The chosen Undead is granted the art of warping between bonfires.
To open the final door, place this vessel on the Firelink Altar, and fill it with powerful souls."
Repairbox,http://darksouls.wikidot.com/repairbox,Bonfire Items,"Specialized mortar1 used to repair weapons and armor by grinding repair powder.
Rest at a bonfire to make weapon and armor repair possible. Repair powder is fragile and cannot be taken along."
Rite of Kindling,http://darksouls.wikidot.com/rite-of-kindling,Bonfire Items,"This secret rite allows bonfires to be
bolstered further with Kindling,
so that even more Estus can be collected. Kindling was a sacred rite passed down among clerics,
but all Undead can imitate the process in the same manner
that they restore their Hollowing with humanity.
How peculiar that humans had found little use for humanity until they turned Undead."
Weapon Smithbox,http://darksouls.wikidot.com/weapon-smithbox,Bonfire Items,"Tools used to etch titanite
into weapons for reinforcement. Rest at a bonfire to make
weapon reinforcement possible."
Estus Flask,http://darksouls.wikidot.com/estus-flask,Consumables,"The Undead treasure these dull green flasks.
Fill with Estus at bonfire. Fills HP."
Elizabeth's Mushroom,http://darksouls.wikidot.com/elizabeth-s-mushroom,Consumables,"Large medicinal mushroom of
Elizabeth, keeper of the sanctuary. Eating this mushroom invigorates the flesh,
and greatly restores HP for a limited duration. Its dramatic effect can make the differance
between a warrior's life and death."
Bloodred Moss Clump,http://darksouls.wikidot.com/bloodred-moss-clump,Consumables,"Medicinal red moss clump.
Reduces bleeding build-up. Bleeding builds up when attacked by sharp
blades or spikes, and once triggered causes
severe damage. Use this moss clump before
it reaches this point."
Purple Moss Clump,http://darksouls.wikidot.com/purple-moss-clump,Consumables,"Medicinal purple moss clump.
Reduces poison build-up. Cures poison. Poison builds up in the body, and when it
breaks out, it causes gradual damage over
a period of time.
Poison can be exasperating, so be certain to
carry the needed quantity of these moss
clumps when destined for an afflicted area."
Blooming Purple Moss Clump,http://darksouls.wikidot.com/blooming-purple-moss-clump,Consumables,"Potently medicinal moss clump with a flower.
Reduces poison and toxin. Restores status. Toxin is a more vicious form of poison which
quickly leads to death. Moss clumps without a flower are useless
against toxin, and a lack of these moss
clumps could lead to an early demise."
Divine Blessing,http://darksouls.wikidot.com/divine-blessing,Consumables,"Holy water from Goddess Gwynevere.
Fully restores HP and undo irregularities. The Goddess of Sunlight, Gwynevere, daughter of
the great Lord of Sunlight Gwyn, is cherished
by all as the symbol of bounty and fertility."
Egg Vermifuge,http://darksouls.wikidot.com/egg-vermifuge,Consumables,"Bitter, sour chestnut.
Removes parasitic egg from body. The egg-bearers have chosen to serve the
Flame of Chaos, and the eggs symbolize this
selfless choice. Naturally, these chestnuts are forbidden, but
are allowed under certain circumstances."
Green Blossom,http://darksouls.wikidot.com/green-blossom,Consumables,"Green weed, shaped like a flower.
Temporary boost to stamina recovery speed. This uniquely bitter, biting herb is
sometimes harvested in large quantities
but normally it is an annual plant found
near water."
Purging Stone,http://darksouls.wikidot.com/purging-stone,Consumables,"Ash-colored stone encasing a skull.
Secret treasure of Arstor, the Earl of Carim.
Reduces curse build-up and breaks curse. Humans are helpless against curses,
and can only redirect their influence.
The Purging Stone does not dispel curses,
but receives them as a surrogate. The stone
itself was once a person or some other being."
Firebomb,http://darksouls.wikidot.com/firebomb,Consumables,"Bisque urn filled with black powder.
explodes, inflicting fire damage. Relatively powerful ranged weapon, especially in situations calling for fire damage.
A very precious item for low levels. Many warriors use these to augment their strategic repertoire."
Black Firebomb,http://darksouls.wikidot.com/black-firebomb,Consumables,"Black bisque urn filled with black powder.
Explodes, inflicting fire damage. Powerful ranged weapon, especially
in situations calling for fire damage.
A very precious item at low levels. Black Firebombs are especially destructive."
Dung pie,http://darksouls.wikidot.com/dung-pie,Consumables,"Atrocious fecal waste material.
Throw at enemy to build up toxins,
but also builds up your toxicity, Although the stench makes it difficult to
carry on one's person, turning an enemy toxic
inflicts high damage over a period of time."
Throwing Knife,http://darksouls.wikidot.com/throwing-knife,Consumables,"Throwing Knife.
Used as a projectile. Throwing knives have limited range and
accuracy compared to arrows, but offer a
quick-and-easy ranged attack. Undead who lack other means of ranged
attacks will do well to stock a few of these."
Poison Throwing Knife,http://darksouls.wikidot.com/poison-throwing-knife,Consumables,"Throwing knife.
Coated with poison. Throwing knives have limited range and
accuracy compared to arrows, but offer a
quick-and-easy ranged attack. When a foe is poisoned, it will continually
take damage over a period of time."
Charcoal Pine Resin,http://darksouls.wikidot.com/charcoal-pine-resin,Consumables,"Black charcoal-like pine resin.
Applies fire to right-hand weapon. Affected weapon inflicts fire damage
for a short time. Particularly effective
against corporeal creatures and Undead,
who have an instinctual fear of fire."
Gold Pine Resin,http://darksouls.wikidot.com/gold-pine-resin,Consumables,"Rare pine which emits golden sparks.
Applies lightning to right-hand weapon. Affected weapon inflicts rare lightning
damage, making it effective against targets
which are resilient to both magic and fire.
Very effective against dragon family foes."
Rotten Pine Resin,http://darksouls.wikidot.com/rotten-pine-resin,Consumables,"Rotten pine resin that has gained poison.
Adds poison effect to right-hand weapon. Hits with affected weapon build up enemy
poison level. If enemy is poisoned, damage
will be inflicted for a period of time."
Fire Keeper Soul,http://darksouls.wikidot.com/fire-keeper-soul,Consumables,"Soul of a long-lost Fire Keeper. Each Fire Keeper is a corporeal manifestation
of her bonfire, and a draw for the humanity
which is offered to her. Her soul is gnawed
by infinite humanity, and can boost the power
of precious Estus Flasks. Reinforced Estus
Flasks capture denser Estus, allowing for
increased restoration of HP. Soul of the Ash Maiden,
Fire Keeper of Firelink Shrine. A Fire Keeper's soul is a draw for humanity,
and held within their bosoms, below just a
thin layer of skin, are swarms of humanity
that writhe and squirm.
Was the Ash Maiden locked in this dark prison
for some transgression, or by her own will? Soul of the Darkmoon Knightess,
Fire Keeper of Anor Londo. A Fire Keeper's soul is a draw for humanity,
and held within their bosoms, below just a
thin layer of skin, are swarms of humanity
that writhe and squirm. Her brass armor
serves to disguise this ghastly form. Soul of a Daughter of Chaos,
Fire Keeper of Quelaag's Domain. A Fire Keeper's soul is a draw for humanity,
and held within their bosoms, below just a
thin layer of skin, are swarms of humanity
that writhe and squirm.
To her, the countless eggs which appeared
were cradles for each tiny humanity."
Soul of a Lost Undead,http://darksouls.wikidot.com/soul-of-a-lost-undead,Consumables,"Soul of a lost Undead who has
long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Large Soul of a Lost Undead,http://darksouls.wikidot.com/large-soul-of-a-lost-undead,Consumables,"Large soul of a lost Undead
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Soul of a Nameless Soldier,http://darksouls.wikidot.com/soul-of-a-nameless-soldier,Consumables,"Soul of a nameless Undead soldier
who has long ago gone Hollow. Use to acquire souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Large Soul of a Nameless Soldier,http://darksouls.wikidot.com/large-soul-of-a-nameless-soldier,Consumables,"Large soul of a nameless Undead
soldier who has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Soul of a Proud Knight,http://darksouls.wikidot.com/soul-of-a-proud-knight,Consumables,"Soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Large Soul of a Proud Knight,http://darksouls.wikidot.com/large-soul-of-a-proud-knight,Consumables,"Large soul of a proud Undead knight who
has long ago gone Hollow. Use to acquire many souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Soul of a Brave Warrior,http://darksouls.wikidot.com/soul-of-a-brave-warrior,Consumables,"Soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Large Soul of a Brave Warrior,http://darksouls.wikidot.com/large-soul-of-a-brave-warrior,Consumables,"Large soul of a brave Undead warrior
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Soul of a Hero,http://darksouls.wikidot.com/soul-of-a-hero,Consumables,"Soul of a hero of legend
who has long ago gone Hollow. Use to acquire a large amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Soul of a Great Hero,http://darksouls.wikidot.com/soul-of-a-great-hero,Consumables,"Great soul of a hero of legend
who has long ago gone Hollow. Use to acquire an incredible amount of souls. Souls are the source of all life,
and whether Undead, or even Hollow,
one continues to seek them."
Soul of the Moonlight Butterfly,http://darksouls.wikidot.com/soul-of-the-moonlight-butterfly,Consumables,"Soul of the mystical Moonlight Butterfly,
which flitters in the Darkroot Garden. Special beings have special souls.
The butterfly's soul is a creation of
Seath the Scaleless. Use to acquire a huge amount of souls,
or to create a unique weapon."
Soul of Quelaag,http://darksouls.wikidot.com/soul-of-quelaag,Consumables,"Soul of Quelaag, once daughter of the Witch of Izalith, but now a chaos demon. Special beings have special souls, and Quelaag's soul contains all aspects of Chaos.
Use it to acquire a huge amount of souls, or to create a unique weapon."
Core of an Iron Golem,http://darksouls.wikidot.com/core-of-an-iron-golem,Consumables,"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo. Originally a bone of an everlasting dragon. Use to acquire a huge amount of souls, or to create a unique weapon."
Soul of Ornstein,http://darksouls.wikidot.com/soul-of-ornstein,Consumables,"Soul of Ornstein, Dragonslayer Knight who guards the cathedral in the forsaken city of Anor Londo. Special beings have special souls. Lord Gwyn granted this soul to his four most trusted knights. Use to acquire a large amount of souls, or to create a unique weapon."
Soul of Smough,http://darksouls.wikidot.com/soul-of-smough,Consumables,"Soul of Smough the Executioner, who guards the cathedral in the forsaken city of Anor Londo. Special beings have special souls. Use the soul of this eerily gleeful executioner to acquire a huge amount of souls, or to create a unique weapon."
Soul of Priscilla,http://darksouls.wikidot.com/soul-of-priscilla,Consumables,"Soul of Priscilla the Crossbreed,
trapped inside the painted world of Ariamis. Special beings have special souls.
Use the soul of this crossbreed bastard
child and antithesis to all life to acquire
a huge amount (sic) of souls, or to create
a unique weapon."
Guardian Soul,http://darksouls.wikidot.com/guardian-soul,Consumables,"Soul of the white winged lion sanctuary watchkeeper,
who dreaded the spread of the Abyss. The Guardian exhibited traits of several
animals other than lions, suggesting that
it was no ordinary beast, but rather closer
to the beings known as Demons."
Soul of Sif,http://darksouls.wikidot.com/soul-of-sif,Consumables,"Soul of Sif the Great Grey Wolf, who guards the grave of Artorias the Abysswalker. Special beings have special souls.
Use the soul of Sif, who inherited the divine knightsword, to acquire a huge amount of souls, or to create a unique weapon."
Soul of Gwyndolin,http://darksouls.wikidot.com/soul-of-gwyndolin,Consumables,"Soul of Darkmoon Gwyndolin, god of the Dark Sun and guardian of deserted Anor Londo. Special beings have special souls.
Use the soul of Gwyn's lastborn to acquire a huge amount of souls, or to create a unique weapon."
Soul of Artorias,http://darksouls.wikidot.com/soul-of-artorias,Consumables,"Soul of Lord Gwyn's Knight Artorias,
who was consumed by the Abyss. The legend that Artorias repelled the Abyss
only told half the story. It seems that he was defeated, and his
honor preserved, by some unsung hero,
who is the true victor of the Abyss."
Soul of Manus,http://darksouls.wikidot.com/soul-of-manus,Consumables,"Soul of Manus, Father of the Abyss.
This extraordinary soul is a viscous,
lukewarm lump of gentle humanity. Ancient Manus was clearly once human.
But he became the Father of the Abyss
after his humanity went wild, eternally
seeking his precious broken pendant."
"Soul of Gwyn, Lord of Cinder",http://darksouls.wikidot.com/soul-of-gwyn-lord-of-cinder,Consumables,"Soul of Gwyn, the Lord of Sunlight
and Cinder, who linked the First Flame. Lord Gwyn bequeathed most of his power to the
Gods, and burned as cinder for the First
Flame, but even so, Lord Gwyn's soul
is a powerful thing indeed."
Alluring Skull,http://darksouls.wikidot.com/alluring-skull,Consumables,"A skull with meekly lingering souls.
Throw to shatter and spread souls to
attract certain types of enemies. Souls are a concentration of life, and the
life-starved Hollows are lured by its power.
Not effective for all enemies."
Binoculars,http://darksouls.wikidot.com/binoculars,Consumables,"Binoculars made of brass.
Use to peer at distant scenery. This advanced device was built by a
famous craftsman of Astora. Its utility is
singular, but its applications many. The value of these specs depends greatly on
the imagination of their owner."
Copper Coin,http://darksouls.wikidot.com/copper-coin,Consumables,"Coin made of copper. Its face shows
Old Man McLoyf, god of medicine and drink. Even coins of great value in the world of
men have little value in Lordran, where the
accepted currency is souls. Those who dream of returning to the outside
world are fond of carrying these around."
Cracked Red Eye Orb,http://darksouls.wikidot.com/cracked-red-eye-orb,Consumables,"Online play item.
Invade another world.
(Hollows cannot use the item) Defeat the master of the world you have
invaded to acquire humanity. The Cracked Red Eye Orb allows players to
temporarily imitate this ability normally
limited to the Darkwraiths of Kaathe."
Darksign,http://darksouls.wikidot.com/darksign,Consumables,"The Darksign signifies an accursed Undead.
Those branded with it are reborn after death,
but will one day lose their mind and go Hollow. Death triggers the Darksign,
which returns its bearer to the last bonfire
rested at, but at the cost of all humanity and souls."
Gold Coin,http://darksouls.wikidot.com/gold-coin,Consumables,"Coin made of gold, with Allfather Lloyd
and his white halo shown on its face. Even coins of great value in the world of
men have little value in Lordran, where the
accepted currency is souls. Those who dream of returning to the outside
world are fond of carrying these around."
Humanity,http://darksouls.wikidot.com/humanity,Consumables,"Rare tiny black sprite found on corpses.
Use to gain 1 humanity and restore a
large amount of HP. This black sprite is called humanity, but
little is known about its true nature.
If the soul is the source of all life,
then what distinguishes the humanity
we hold within ourselves?"
Homeward Bone,http://darksouls.wikidot.com/homeward-bone,Consumables,"Bone fragment reduced to white ash.
Return to last bonfire used for resting. Bonfires are fueled by the bones of the Undead.
In rare cases, the strong urge of their previous owner's
to seek bonfires enchants their bones with a homeward instinct."
Lloyd's Talisman,http://darksouls.wikidot.com/lloyd-s-talisman,Consumables,"Talisman utilized by Allfather Lloyd's
cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area. In the outside world, the Undead are
accursed creatures, and Lloyd's cleric knights
are widely praised for their Undead hunts.
This blessed talisman blocks Undead recovery,
allowing the knights to fight with impunity."
Pendant,http://darksouls.wikidot.com/pendant,Consumables,"A simple pendant with no effect. Even so, pleasant memories are crucial
to survival on arduous journeys."
Prism Stone,http://darksouls.wikidot.com/prism-stone,Consumables,"Warm pebble emitting a beautiful phasing aura
of seven colors, with a very rare eighth. The rainbow stone does nothing special, but
can serve as a path marker, and can be
dropped off a cliff to judge height by the
sound of descent. If a loud noise is heard upon its landing,
then a fall off the ledge is surely lethal."
Repair Powder,http://darksouls.wikidot.com/repair-powder,Consumables,"Lightly enchanted golden powder.
Repairs weapon equipped in right hand. Use of a weapon depletes its durability, eventually rendering it ineffective.
Repair Powder is a precious method of repair on the battlefield, as it obviates the need for a Repairbox."
Rubbish,http://darksouls.wikidot.com/rubbish,Consumables,"Rubbish has no value. Who in their right mind would bother carrying this around?
Perhaps you need help."
Silver Coin,http://darksouls.wikidot.com/silver-coin,Consumables,"Coin made of silver, with a portrait of the
legendary Knight King Rendal on its face. Even coins of great value in the world of
men have little value in Lordran, where the
accepted currency is souls. Those who dream of returning to the outside
world are fond of carrying these around."
Silver Pendant,http://darksouls.wikidot.com/silver-pendant,Consumables,"One of the ancient treasures of Anor Londo.
Presented to Artorias for facing the Abyss.

Effectively deflects the Dark of the Abyss,
especially in its magic forms."
Transient Curse,http://darksouls.wikidot.com/transient-curse,Consumables,"Limb of the victim of a curse.
Temporary curse allows engagement with ghosts. The only way to fight back against ghosts,
who are cursed beings, is to become cursed
oneself. The safest method, however dreadful,
is to cut off an arm of the dead."
Twin Humanities,http://darksouls.wikidot.com/twin-humanities,Consumables,"Rare tiny black sprite found on corpses.
Very unusual twin humanity.
Use to gain 2 humanity and restore a
large amount of HP. This black sprite is called humanity, but
little is known about its true nature.
If the soul is the source of all life,
then what distinction is left for humanity?"
Annex Key,http://darksouls.wikidot.com/annex-key,Keys,"Key to the annex in the
Painted World of Ariamis. In the wintery painted world,
there is a structure resembling an
old cathedral; its annex serves
as a type of storehouse."
Archive Tower Cell Key,http://darksouls.wikidot.com/archive-tower-cell-key,Keys,"Key to the cell of the Duke's Archive Tower. The Archive Tower, once a trove of precious tomes and letters, became a prison after the onset of Seath's madness. The serpent men who guard the prison know not the value of what they hide. In the basement of the tower are the writhing ""mistakes"" of the terrifying experiments which were conducted there."
Archive Tower Giant Cell Key,http://darksouls.wikidot.com/archive-tower-giant-cell-key,Keys,"Key to the giant cell below the Duke's Archives Tower.
The giant cell once imprisoned countless maidens, but is now empty, save for a few key persons. They struggle to uphold their sanity, as the horde of ""mistakes"" writhe at a fearfully close proximity."
Archive Tower Giant Door Key,http://darksouls.wikidot.com/archive-tower-giant-door-key,Keys,"Key to the giant door leading out from the uppermost floor of Archive Tower, which now serves as a prison. The key's design resembles not the key of a prison; indeed, the tower was once no prison at all, but a trove of precious tomes."
Archive Prison Extra Key,http://darksouls.wikidot.com/archive-tower-extra-key,Keys,"Extra key to a cell in the Duke's Archive Tower.
Perhaps the serpent men were careless, for there are several keys scattered about which fit Archive Tower cells."
Basement Key,http://darksouls.wikidot.com/basement-key,Keys,"Opens the narrow passage leading below
at the far face of the great bridge in
the Undead Burg. The lower Undead Burg is a treacherous place.
Do not turn your back on the wily thieves, or
the wild dogs who serve the Capra Demon."
Big Pilgrim´s Key,http://darksouls.wikidot.com/big-pilgrim-s-key,Keys,"Key to the inner door of the Undead Asylum
main hall. Big key belonging to a chosen
Undead pilgrim. But this chosen Undead knows not what
this pilgrimage has in store."
Blighttown Key,http://darksouls.wikidot.com/blighttown-key,Keys,"Key to Blighttown from the Depths of the
Undead Burg. Swallowed by the Gaping Dragon. As its name suggests, Blighttown is a place
of great pestilence. Even the polluted
inhabitants of the Depths are aware of its
dangers, and built this mighty door in hopes
that they could remain safely separated."
Broken Pendant,http://darksouls.wikidot.com/broken-pendant,Keys,"Half of a broken stone pendant.
The vine appears to originate from Oolacile. A powerful magic can be sensed from this
ancient stone. Yet men of this time can
neither manipulate nor sense its power,
which has a distinct air consisting of
both reverence and nostalgia."
Cage Key,http://darksouls.wikidot.com/cage-key,Keys,"Key to the hanging cage in Sen's Fortress. If a hapless adventurer becomes fatigued during an imprudent attempt to overcome the fortress, the serpent men will not kill him, but lock him up in a lonely cage. Eventually, unless they have forgotten, they drag the victim off to who-knows-where."
Crest Key,http://darksouls.wikidot.com/crest-key,Keys,"Bent Crest Key.
The grooves of the crest are enchanted,
the door sealed with a powerful spell."
Crest of Artorias,http://darksouls.wikidot.com/crest-of-artorias,Keys,"This crest opens a door in the Darkroot Garden sealed by ancient magic. This door leads to the grave of Sir Artorias the Abysswalker. Many adventurers have left for the grave, but none have returned for they make easy prey for local bandits,
With such dangers, the crest can do more harm than good in the hands of the uninitiated."
Dungeon Cell Key,http://darksouls.wikidot.com/dungeon-cell-key,Keys,"Key to the dungeon of the Undead Asylum to
the North. A mysterious knight, without saying a word,
shoved a corpse down into the cell, and on
its person was this key. Who was this knight?
And was was his purpose? There may be no
answer, but one must still forge ahead."
Key to New Londo Ruins,http://darksouls.wikidot.com/key-to-new-londo-ruins,Keys,"Key to the iron bars separating the ruins of
New Londo and Drake Valley. The ruins of New Londo were blocked off,
for the cursed ghosts posed danger to life
and spirit, and the legends speak of a
terrible Dark that was sealed away."
Key to the Depths,http://darksouls.wikidot.com/key-to-the-depths,Keys,"Key opening the door from the lower
Undead Burg to the Depths. Those banished from the Undead Burg eke out
their existence in the Depths, a damp lair
with no trace of sunlight. Nearly half of
the Depths form a perilous flooded labyrinth."
Key to the Seal,http://darksouls.wikidot.com/key-to-the-seal,Keys,"Key to the floodgates of New Londo, which seal away the Four Kings who fell to Dark. The Sealers flooded New Londo to banish the Darkwraiths and the Four Kings. The agonizing decision was made with the realization that countless lives, and the robust culture of the city, would be lost. The victims now roam the ruins as ghosts."
Master Key,http://darksouls.wikidot.com/master-key,Keys,"This universal key opens any basic lock.
Tool of the trade for thieves. But in the cursed land of the Undead,
most doors are better left unopened."
Mystery Key,http://darksouls.wikidot.com/mystery-key,Keys,"The purpose of this key is unknown.
Resembles a basic prison cell key."
Peculiar Doll,http://darksouls.wikidot.com/peculiar-doll,Keys,"A strange doll in strange dress. There once was an abomination who had
no place in this world. She clutched this
doll tightly, and eventually was drawn into
a cold and lonely painted world."
Residence Key,http://darksouls.wikidot.com/residence-key,Keys,"Key to a residence in the Undead Burg.
Simple, sturdy design of the locks in
the Burg keep out unwanted visitors. But this is a standard key in these parts,
and will open several residences."
Undead Asylum F2 East Key,http://darksouls.wikidot.com/undead-asylum-f2-east-key,Keys,"Key to the iron bars on the east side of the
second floor of the North Undead Asylum. The Undead Asylum is a giant Undead prison,
segmented by countless iron bars. Even if an Undead were to escape from a
cell, passage to the outside world would
not be gained easily."
Undead Asylum F2 West Key,http://darksouls.wikidot.com/undead-asylum-f2-west-key,Keys,"Key to the iron bars on the west side of the
second floor of the North Undead Asylum. The Undead Asylum is a giant Undead prison,
segmented by countless iron bars. But even if a hero found a key in Lordran
to liberate this prison, would he have the
means, or the heart, to ever come back?"
Sewer Chamber Key,http://darksouls.wikidot.com/sewer-chamber-key,Keys,"Key to the sewer chamber in the Depths. In any community, a few bad apples are sure
to exhibit insatiable greed. If they were
turned Undead, and banished to the Depths,
would they reconsider their ways? Use this key to see for yourself."
Watchtower Basement Key,http://darksouls.wikidot.com/watchtower-basement-key,Keys,"Key to the basement of the watchtower in
the Undead Burg. The basement of the watchtower forms a stone
cell. There are rumors of a hero turned
Hollow who was locked away by a dear friend.
For his own good, of course."
Black Separation Crystal,http://darksouls.wikidot.com/black-separation-crystal,Multiplayer Items,"This black crystal, long a symbol of
farewell, is granted to banished Undead.
The crystal sends phantoms back to their
homes, or sends you back to yours. Beware of fickle use of the item if you
intend to nurture relations."
Orange Guidance Soapstone,http://darksouls.wikidot.com/orange-guidance-soapstone,Multiplayer Items,"Online play item.
Write/view/rate message. Messages transmit to other worlds, where they
are rated. Also, rate messages of others. In Lordran, the flow of time is distorted,
and messages allow Undead to assist
(or deceive) one another."
Purple Coward's Crystal,http://darksouls.wikidot.com/purple-coward-s-crystal,Multiplayer Items,"Online play item.
Quit Battle of Stoicism.
(Session ends if host leaves) Victory in this battle once led to ancient
Anor Londo, but even in the absence
of it's overseer, capitulation is a disgrace.
In the name of a warrior's honor, do not
quickly resort to the use of this crystal."
Red Sign Soapstone,http://darksouls.wikidot.com/red-sign-soapstone,Multiplayer Items,"Online play item.
Leaves invasion sign.
(Hollows cannot use the item) Be summoned to another world as a dark
spirit, and defeat the summoner to acquire
humanity.
Certain Darkwraiths resist their descent into
dark and preserve along the honorable path.
The Red Soapstone is for them."
White Sign Soapstone,http://darksouls.wikidot.com/white-sign-soapstone,Multiplayer Items,"Online play item.
Leave summon sign. Be summoned to another world as a phantom
through your sign, and defeat the area boss
to acquire humanity.
(Hollows cannot conduct summons) In Lordran, the flow of time is distorted,
and the White Sign Soapstone allows
Undead to assist one another."
Black Eye Orb,http://darksouls.wikidot.com/black-eye-orb,Multiplayer Items,"Mystical orb found on a Keeper's corpse. Invade the world of the murderer of a
Fire Keeper, to defeat the perpetrator and
reclaim the soul of the Fire Keeper. The Black Eye keeps constant watch on the
city of the Gods, Anor Londo."
Blue Eye Orb,http://darksouls.wikidot.com/blue-eye-orb,Multiplayer Items,"Online play item.
Invade world of player in Book of the Guilty.
Subdue player to acquire Souvenir of Reprisal.
(Only Covenanter can use the item) These mystical orbs are granted to
Blades of the Darkmoon, knights who serve
the Dark Sun Gwyndolin, so that they may
serve the Gods in meting out vengenance."
Cracked Red Eye Orb,http://darksouls.wikidot.com/cracked-red-eye-orb,Multiplayer Items,"Online play item.
Invade another world.
(Hollows cannot use the item) Defeat the master of the world you have
invaded to acquire humanity. The Cracked Red Eye Orb allows players to
temporarily imitate this ability normally
limited to the Darkwraiths of Kaathe."
Red Eye Orb,http://darksouls.wikidot.com/red-eye-orb,Multiplayer Items,"Online play item.
Invade another world.
(Only Covenanter can use the item while Hollows cannot) Defeat the master of the world you have
invaded to acquire humanity. The Darkwraiths of Kaathe use this orb to
seek humanity and plunge further into dark.
Perhaps they are more human than we?"
Dragon Eye,http://darksouls.wikidot.com/dragon-eye,Multiplayer Items,"Online play item.
Find a player who has acquired a Dragon Scale
and invade that player's world to pillage it.
(Only Covenanter can use the item). An art of the transcendent apostles who pray
to the ancient dragons. To be alive is to be
vulnerable, and the fiery Gods are no
exception. The apostles seek another plane
of existence, which transcends life."
Dragon Head Stone,http://darksouls.wikidot.com/dragon-head-stone,Multiplayer Items,"Stone imbued with the power of the dragons.
Rite of apostles of the ancient dragons.
Gain head of dragon. Emit dragon breath. The dragon apostles seek transcendence of
life itself, attainable by transformation
into an ancient dragon. This rite is only one
step, but it cannot be reversed until death."
