entity,character,entity_type,context
the Darkroot Wood,ALVINA OF THE DARKROOT WOOD,ORG,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
the Darkroot Wood,ALVINA OF THE DARKROOT WOOD,ORG,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
the Darkroot Wood,ALVINA OF THE DARKROOT WOOD,ORG,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,ALVINA OF THE DARKROOT WOOD,PERSON,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Shiva,SHIVA OF THE EAST,PERSON,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Shiva,SHIVA OF THE EAST,PERSON,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Shiva,SHIVA OF THE EAST,PERSON,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Shiva,SHIVA OF THE EAST,PERSON,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
East,ALVINA OF THE DARKROOT WOOD,LOC,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
East,ALVINA OF THE DARKROOT WOOD,LOC,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
East,SHIVA OF THE EAST,LOC,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
East,SHIVA OF THE EAST,LOC,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
East,SHIVA OF THE EAST,LOC,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
East,SHIVA OF THE EAST,LOC,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
East,SHIVA OF THE EAST,LOC,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
East,SHIVA OF THE EAST,LOC,"In Darkroot Garden
In Darkroot Garden
First time speaking to him
I've heard all about you.
I'm Shiva of the East, captain of the brigade.
Let's teach you the clan basic now,
as there is no time to cha..."
Hollow,ALVINA OF THE DARKROOT WOOD,ORG,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Hollow,ALVINA OF THE DARKROOT WOOD,ORG,"First time talking to her
Is it not so that thou art new.
Thou fared well to find me.
But cometh thee not for the grave of Sir Artorias?
My advice true, forget this!
The legend of Artorias art none bu..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,ANDRE OF ASTORA,ORG,"Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require smithing, then speak to me.
Initial meeting
Well, you must be a new arrival.
I'm Andre, of Astora.
If you require ..."
Hollow,BIG HAT LOGAN,ORG,"Sen's Fortress
Sen's Fortress
Initial meeting
Mm, you seem quite lucid! A rare thing in these times.
I am Logan. I'm a bit cooped up, as you can see.
I have a bright idea. Suppose you set me free?
I'm..."
Hollow,BIG HAT LOGAN,ORG,"Sen's Fortress
Sen's Fortress
Initial meeting
Mm, you seem quite lucid! A rare thing in these times.
I am Logan. I'm a bit cooped up, as you can see.
I have a bright idea. Suppose you set me free?
I'm..."
Hollow,CRESTFALLEN MERCHANT,ORG,"First time speaking
…
Ah, what? What? Who are you?
Ahh, another Undead, eh? I took on Sen's Fortress alone…
But I'm no different from those vile creatures… I was driven by conceit…
Ahh, you think you'..."
Hollow,CRESTFALLEN MERCHANT,ORG,"First time speaking
…
Ah, what? What? Who are you?
Ahh, another Undead, eh? I took on Sen's Fortress alone…
But I'm no different from those vile creatures… I was driven by conceit…
Ahh, you think you'..."
Hollow,CRESTFALLEN MERCHANT,ORG,"First time speaking
…
Ah, what? What? Who are you?
Ahh, another Undead, eh? I took on Sen's Fortress alone…
But I'm no different from those vile creatures… I was driven by conceit…
Ahh, you think you'..."
Hollow,CRESTFALLEN MERCHANT,ORG,"First time speaking
…
Ah, what? What? Who are you?
Ahh, another Undead, eh? I took on Sen's Fortress alone…
But I'm no different from those vile creatures… I was driven by conceit…
Ahh, you think you'..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,CRESTFALLEN WARRIOR,ORG,"First encounter
Well, what do we have here? You must be a new arrival.
Let me guess. Fate of the Undead, right? Well, you're not the first.
But there's no salvation here. You'd have done better to rot..."
Hollow,LAURENTIUS OF THE GREAT SWAMP,ORG,"The Depths
The Depths
Entering his general vicinity
…You!
…Yes, you!
…Here, over here!
…Please…
…You must help me…
Entering his general vicinity
…You!
…Yes, you!
…Here, over here!
…Please…
…You must h..."
Hollow,LAURENTIUS OF THE GREAT SWAMP,ORG,"The Depths
The Depths
Entering his general vicinity
…You!
…Yes, you!
…Here, over here!
…Please…
…You must help me…
Entering his general vicinity
…You!
…Yes, you!
…Here, over here!
…Please…
…You must h..."
Hollow,OSWALD OF CARIM,ORG,"First encounter
Greetings.
I am Oswald of Carim, the pardoner.
Thou art a friend. For thee, a warm welcome.
Cometh thou to confess? Or to accuse? For indeed all sin is my domain.
First encounter
Greet..."
